"","HOME","ROAD","GAME.DATE","SPREAD","H.PTS","R.PTS","Diff","sprError","VegDiffPred","VegHPred","VegRPred","PredDifflm01","PredDifflm02","PredHlm01","PredHlm02","PredRlm01","PredRlm02","dpcalm","Hpcalm","Rpcalm","PredDiffRF","PredHRF","PredRRF","PredDiffXGB","PredHXGB","PredRXGB","PredDiffglm","PredHglm","PredRglm"
"206","MEM","HOU",2014-11-17,-4.5,119,93,-26,-21.5,-4.19477061587622,96.7763512665259,92.6293335446103,0.696533178398237,-0.415177504739902,93.635897363736,95.4907843351723,93.3995725151758,95.2329591505955,-1.31572632113532,93.2032705495866,92.7718550949008,-3.15825170068027,91.4538979591837,91.4741904761905,-7.78142261505127,82.1369934082031,88.9971771240234,-1.95827825314064,95.2912527620478,93.8193955226258
"207","CLE","ORL",2014-11-24,-10.5,106,74,-32,-21.5,-10.0118897286635,105.37116232071,95.3091942853067,-3.9531015930073,-4.15653869182977,99.6667806927527,100.059216431387,96.9867934347634,97.1014695101138,-2.96993905337332,100.507177955838,97.1282280373882,-3.03945578231293,101.931285714286,98.1583367346939,-2.56439995765686,97.8749847412109,97.790283203125,-2.32433036447301,101.868541845423,98.7443233225627
"212","LAL","MIL",2015-12-15,3.5,113,95,-18,-21.5,3.56138820117343,97.758615387004,101.399786877798,2.32473002432151,2.0394600371961,98.5454282744984,98.0021747740921,102.717359726509,102.292863176022,2.57619293329822,98.6469104874564,102.175104210724,2.9767925170068,94.6861156462585,99.8352380952381,4.75233268737793,94.9967041015625,96.9302978515625,1.07513977363871,99.4160729239941,101.661322003516
"217","MIA","WAS",2016-02-20,1.5,114,94,-20,-21.5,1.62234849691101,100.214275688199,101.887034285198,-3.52116389749026,-2.77835728853546,101.032794556549,101.054902879682,97.6869940419194,99.4187603794526,-3.85110188814454,100.199691250942,97.175789178673,-3.69224829931973,98.2491836734694,98.978693877551,-3.58091974258423,98.0255126953125,96.3764343261719,-4.28668184604672,102.077897130628,99.3197402978203
"224","HOU","PHX",2016-04-07,-12.5,115,124,9,21.5,-11.9509294329259,112.492577194177,100.425292063,-8.80197822763454,-7.93605990902165,110.051062601743,110.428530212304,102.375824793893,102.901422754199,-8.54941218081391,110.342942975373,102.482929207472,-10.2832619047619,110.068081632653,102.293105442177,-8.71285343170166,105.336090087891,100.374053955078,-6.94188467014908,108.537331785083,101.946893756027
"233","HOU","ATL",2013-11-27,-8,113,84,-29,-21,-7.58809009833544,107.090124531547,99.4507972482011,-7.67169399172102,-7.85086230936718,108.574160174835,107.943987389001,97.1282856800527,94.9151613443954,-6.62116462330615,108.009667952037,99.9077353692014,-9.10284013605442,107.551142857143,101.124221088435,-6.11917686462402,106.145233154297,104.981346130371,-6.66390292984127,107.021009092541,100.1901452399
"239","DEN","PHI",2014-01-01,-9,102,114,12,21,-8.55760995046664,111.019181013459,102.374281692597,-6.71423150994169,-7.11190514622605,109.46994897471,108.384813230489,103.22579196595,104.227772102412,-7.01788331859994,108.770644291266,103.560532678406,-9.11403061224489,104.605034013605,101.399591836735,-3.48199033737183,106.468528747559,101.734420776367,-6.85228463616474,107.090315978312,102.108786515247
"240","UTA","DEN",2014-01-13,6,118,103,-15,-21,5.98518783150144,98.9864455376018,105.054142433293,4.0014824752929,3.70688813587391,100.09543404969,101.203217788818,105.213744285902,105.588508502147,5.55067966889392,99.195241387764,104.88818431091,6.22148299319728,100.245489795918,101.774333333333,4.56824636459351,97.020637512207,100.571517944336,3.22283433158581,99.3843528143754,102.970143636785
"252","ATL","SAS",2015-03-22,-2,95,114,19,21,-1.7709709855482,101.442105838797,99.6944209519007,-3.13001572700808,-3.14921862075837,102.510032838288,102.230318258728,101.162528791919,99.8134358245248,-3.19299312781219,102.875529083604,101.42138466455,-5.08614285714286,103.152108843537,101.068142857143,-1.31933355331421,101.611122131348,97.3157577514648,-2.99909620422316,103.460817273604,101.108353648361
"255","PHI","IND",2015-11-18,6,85,112,27,21,5.98518783150144,92.6017287544936,98.719926137102,7.79615848240386,9.14206338406068,93.559050255641,93.9398900732384,100.950827062433,100.6010294901,9.63659810788853,92.1475984471055,101.140369285395,9.54943197278912,92.6458775510203,100.257612244898,7.65765380859375,96.0791931152344,98.7494583129883,5.96546968538671,94.8998784334902,100.248848949697
