"","HOME","ROAD","GAME.DATE","W.L","SPREAD","VegPred","log1Pred","log1WL","log2Pred","log2WL","log3Pred","log3WL","RFWL","XGWL","lassoPred","lassoWL","XGPred","RFPred"
"1864","BKN","UTA",2015-03-08,0,-2,1,0.578640641245056,1,0.578640641245056,1,0.51591827837792,1,"0","1",0.50903565684166,1,0.519477784633636,0.41
"1873","PHX","CHI",2015-11-18,0,-3,1,0.668412348538948,1,0.668412348538948,1,0.678044482165449,1,"1","1",0.63662558500833,1,0.65093731880188,0.73
"1881","CHI","PHX",2015-12-07,0,-7,1,0.601265297434408,1,0.601265297434408,1,0.563344498535657,1,"1","1",0.581932472468795,1,0.583776354789734,0.51
"1883","DEN","LAL",2015-12-22,0,-5,1,0.859979083058377,1,0.859979083058377,1,0.836432527860453,1,"1","1",0.8091719894677,1,0.830651938915253,0.93
"1886","ORL","CHA",2016-01-22,0,-5,1,0.592711849639117,1,0.592711849639117,1,0.598716966918848,1,"1","1",0.555658666959643,1,0.591085314750671,0.5
"1907","PHI","IND",2016-11-11,1,5,0,0.274978604769984,0,0.274978604769984,0,0.302185738948381,0,"0","0",0.336518457958256,0,0.291920274496078,0.23
"1912","MEM","SAC",2016-12-16,0,-5,1,0.566440008513936,1,0.566440008513936,1,0.633361436315904,1,"1","1",0.620880104219004,1,0.611848652362823,0.6
"1916","MIN","SAC",2016-12-23,0,-5,1,0.558765706672503,1,0.558765706672503,1,0.603676430331307,1,"1","1",0.622050514806508,1,0.606588184833527,0.66
"1919","CHA","OKC",2017-01-04,1,-2,1,0.662887731809968,1,0.662887731809968,1,0.626749988901941,1,"1","1",0.629207429496431,1,0.636743187904358,0.77
"1921","ATL","MIL",2017-01-15,1,-4,1,0.502775753658516,1,0.502775753658516,1,0.516850630623823,1,"1","1",0.542584898592138,1,0.503866136074066,0.56
"1922","MIN","IND",2017-01-26,0,-3,1,0.563989913286696,1,0.563989913286696,1,0.587236429022339,1,"1","1",0.580850024669867,1,0.567103445529938,0.75
"1923","CLE","BKN",2017-01-27,1,-17,1,0.886757856848629,1,0.886757856848629,1,0.840136462758845,1,"1","1",0.809555673464763,1,0.85434228181839,0.98
"1925","MIN","DAL",2017-02-24,1,-4,1,0.536677479254547,1,0.536677479254547,1,0.661843952628681,1,"1","1",0.633872127624414,1,0.649137198925018,0.78
"1926","DEN","MEM",2017-02-26,0,-2,1,0.464760460452115,0,0.464760460452115,0,0.536145157805005,1,"1","1",0.555483956562554,1,0.53641015291214,0.49
"1929","MIA","TOR",2017-03-11,1,-6,1,0.53641669824845,1,0.53641669824845,1,0.575657338862388,1,"1","1",0.595682952717098,1,0.585412383079529,0.65
"1933","MEM","IND",2017-03-29,1,-4,1,0.62941334544589,1,0.62941334544589,1,0.60144357095215,1,"1","1",0.566468979536107,1,0.596250772476196,0.53
"1935","PHX","NOP",2013-11-10,1,1.5,0,0.670321692453436,1,0.670321692453436,1,0.609859084355741,1,"1","1",0.618220522297038,1,0.618697464466095,0.78
"1942","CLE","CHI",2013-11-30,1,4.5,0,0.329200641527098,0,0.329200641527098,0,0.298393067601763,0,"0","0",0.344817999111358,0,0.306481063365936,0.23
"1946","TOR","NYK",2013-12-28,1,-6.5,1,0.68871605712489,1,0.68871605712489,1,0.708918711218417,1,"1","1",0.700542383733692,1,0.709022283554077,0.88
"1947","ORL","CHA",2014-01-17,0,1.5,0,0.465437541058301,0,0.465437541058301,0,0.494012600427086,0,"0","0",0.49536385394054,0,0.487626403570175,0.4
"1949","PHX","GSW",2014-02-08,1,-4.5,1,0.619567574634666,1,0.619567574634666,1,0.556619707896628,1,"1","1",0.569299479700389,1,0.564617037773132,0.76
"1951","BOS","SAS",2014-02-12,0,3.5,0,0.386686254659207,0,0.386686254659207,0,0.334714387277637,0,"0","0",0.373619759804544,0,0.342330724000931,0.24
"1957","BOS","WAS",2014-04-16,0,7.5,0,0.381357904465261,0,0.381357904465261,0,0.42952992404937,0,"0","0",0.453287944090126,0,0.423983842134476,0.3
"1961","MIL","DET",2014-11-25,1,-3.5,1,0.702126746239064,1,0.702126746239064,1,0.674099974147411,1,"1","1",0.640874243429268,1,0.655837953090668,0.73
"1968","POR","PHI",2014-12-26,1,-12.5,1,0.964219960740317,1,0.964219960740317,1,0.914931753849926,1,"1","1",0.89280804768431,1,0.92394345998764,0.97
"1975","DAL","HOU",2015-02-20,1,-2.5,1,0.677095084927705,1,0.677095084927705,1,0.619971207348109,1,"1","1",0.630513982134843,1,0.651789307594299,0.66
"1978","IND","HOU",2015-03-23,0,1.5,0,0.573106771018706,1,0.573106771018706,1,0.526851581329727,1,"1","1",0.514759862070205,1,0.537539720535278,0.39
"1979","PHI","LAC",2015-03-27,0,12.5,0,0.176280217348394,0,0.176280217348394,0,0.167926826375147,0,"0","0",0.21860441365293,0,0.156629607081413,0.16
"1980","CHA","ATL",2015-03-28,1,-6.5,1,0.322325622534751,0,0.322325622534751,0,0.295411721348564,0,"0","0",0.37713630889971,0,0.306931734085083,0.28
"1985","NYK","MIL",2015-11-06,0,-1.5,1,0.72525097812441,1,0.72525097812441,1,0.719504475768822,1,"1","1",0.71271503385228,1,0.715273559093475,0.87
"1986","IND","ORL",2015-11-09,1,-4.5,1,0.479834467594288,0,0.479834467594288,0,0.500065276324806,1,"0","0",0.499661405312737,0,0.499774903059006,0.33
"1994","LAL","UTA",2016-01-10,0,3.5,0,0.326001370038621,0,0.326001370038621,0,0.301628321405273,0,"0","0",0.375228551284548,0,0.30800187587738,0.28
"1995","MIL","CHI",2016-01-12,1,3.5,0,0.412033929023272,0,0.412033929023272,0,0.452724695315005,0,"0","0",0.43362523687037,0,0.445456892251968,0.59
"2001","DAL","ORL",2016-03-01,1,-4.5,1,0.627550679978197,1,0.627550679978197,1,0.611550504953764,1,"1","1",0.635038731666431,1,0.609163641929626,0.77
"2002","BOS","MEM",2016-03-09,1,-11.5,1,0.727511139623259,1,0.727511139623259,1,0.655097144346879,1,"1","1",0.645058607242528,1,0.636808276176453,0.82
"2003","DEN","PHX",2016-03-10,1,-9.5,1,0.812461586959406,1,0.812461586959406,1,0.775905111459612,1,"1","1",0.758611569920274,1,0.792167544364929,0.89
"2007","BOS","TOR",2016-03-23,1,-3.5,1,0.390783222711401,0,0.390783222711401,0,0.507747255509573,1,"1","0",0.499823298228948,0,0.493312001228333,0.67
"2009","MEM","SAS",2016-03-28,0,5.5,0,0.323023615241189,0,0.323023615241189,0,0.249139650500079,0,"0","0",0.288592873515599,0,0.25728377699852,0.2
"2011","MIN","LAC",2016-11-12,0,5.5,0,0.194704269325732,0,0.194704269325732,0,0.258153353400475,0,"0","0",0.283674321961535,0,0.258203536272049,0.39
"2015","SAC","NYK",2016-12-09,0,-5.5,1,0.616864094771481,1,0.616864094771481,1,0.659365557505798,1,"1","1",0.655613501377452,1,0.657439947128296,0.78
"2038","NOP","CHI",2014-02-01,1,-1,1,0.436343141407818,0,0.436343141407818,0,0.488268149826786,0,"1","0",0.518011733221422,1,0.499164193868637,0.53
"2054","HOU","NOP",2014-04-12,1,-15,1,0.786173446365594,1,0.786173446365594,1,0.783235248166423,1,"1","1",0.796195498185394,1,0.789736866950989,0.92
"2061","WAS","BOS",2014-12-08,1,-9,1,0.772263462874703,1,0.772263462874703,1,0.800096774446122,1,"1","1",0.76214491097218,1,0.794104695320129,0.87
"2064","LAC","UTA",2014-12-29,1,-12,1,0.826862941977342,1,0.826862941977342,1,0.818744454817555,1,"1","1",0.770219805257629,1,0.823597252368927,0.83
"2066","LAC","NYK",2014-12-31,1,-13,1,0.846302335570294,1,0.846302335570294,1,0.866083329897776,1,"1","1",0.83791856894857,1,0.863563001155853,0.97
"2073","HOU","CHI",2015-02-04,1,-3,1,0.652515112067048,1,0.652515112067048,1,0.648855388241235,1,"1","1",0.628658516711901,1,0.630428194999695,0.74
"2079","CHA","LAL",2015-03-03,1,-9,1,0.673954767437916,1,0.673954767437916,1,0.704147274525379,1,"1","1",0.674306630537233,1,0.698883533477783,0.89
"2081","ORL","SAC",2015-03-06,1,3,0,0.59805034385168,1,0.59805034385168,1,0.602480484628076,1,"1","1",0.576060398825063,1,0.606247663497925,0.62
"2083","MEM","POR",2015-03-21,1,-3,1,0.59877682432869,1,0.59877682432869,1,0.535669163422937,1,"1","1",0.540439768422911,1,0.551640629768372,0.55
"2090","BOS","PHI",2015-11-25,1,-12,1,0.873496364791937,1,0.873496364791937,1,0.923991288584974,1,"1","1",0.890603810219858,1,0.915814757347107,0.98
"2104","CLE","SAC",2016-02-08,1,-12,1,0.773962944657782,1,0.773962944657782,1,0.735553358463882,1,"1","1",0.721575402759916,1,0.726894497871399,0.83
"2107","SAC","SAS",2016-02-24,0,8,0,0.162030018231942,0,0.162030018231942,0,0.180568594408056,0,"0","0",0.24695577801963,0,0.179472923278809,0.13
"2108","ORL","GSW",2016-02-25,0,8,0,0.287264244581301,0,0.287264244581301,0,0.289580811533179,0,"0","0",0.336927400100279,0,0.292797982692719,0.13
"2109","ORL","CHI",2016-03-02,1,-5,1,0.67957800930519,1,0.67957800930519,1,0.652357581341494,1,"1","1",0.633314907907825,1,0.660561800003052,0.8
"2117","ORL","UTA",2016-11-11,0,5,0,0.212417516165718,0,0.212417516165718,0,0.199828260870644,0,"0","0",0.249733862497421,0,0.208449825644493,0.25
"2126","MEM","SAC",2017-01-20,1,-8,1,0.639674753983867,1,0.639674753983867,1,0.672592349384028,1,"1","1",0.655289757146482,1,0.666952311992645,0.74
"2133","DET","CHI",2017-03-06,1,-6,1,0.631389584856669,1,0.631389584856669,1,0.599638370677962,1,"1","1",0.60650348310166,1,0.613846659660339,0.76
"2136","LAC","MIL",2017-03-15,0,-7,1,0.711721840148105,1,0.711721840148105,1,0.639304067116669,1,"1","1",0.633477181901004,1,0.647684514522552,0.92
"2137","PHX","ORL",2017-03-17,0,-2,1,0.616520667743908,1,0.616520667743908,1,0.571239792363567,1,"1","1",0.604240190784615,1,0.565115928649902,0.63
"2138","DAL","TOR",2017-03-25,0,0,1,0.411341725430396,0,0.411341725430396,0,0.455687246993976,0,"0","0",0.441771694068322,0,0.446237713098526,0.42
"2141","OKC","WAS",2013-11-10,1,-8.5,1,0.741257371515882,1,0.741257371515882,1,0.714413146744422,1,"1","1",0.700807153829521,1,0.726036250591278,0.73
"2142","CHA","MIA",2013-11-16,0,8.5,0,0.10591887907256,0,0.10591887907256,0,0.204222464368091,0,"0","0",0.260246859456182,0,0.204258233308792,0.4
"2147","WAS","NYK",2013-11-23,1,-1.5,1,0.632978945654016,1,0.632978945654016,1,0.656319402765474,1,"1","1",0.641833341078652,1,0.642732441425323,0.75
"2153","OKC","ATL",2014-01-27,1,-9.5,1,0.777067962278841,1,0.777067962278841,1,0.775686352630336,1,"1","1",0.746235177993286,1,0.772316694259644,0.86
"2154","BKN","SAS",2014-02-06,1,-6.5,1,0.478585765055737,0,0.478585765055737,0,0.361879559414004,0,"0","0",0.403855620477343,0,0.396206825971603,0.35
"2155","LAC","TOR",2014-02-07,1,-5.5,1,0.674872351498568,1,0.674872351498568,1,0.688539751699178,1,"1","1",0.66816752096852,1,0.703381478786469,0.88
"2157","HOU","WAS",2014-02-12,1,-8.5,1,0.743726932307294,1,0.743726932307294,1,0.759632161582428,1,"1","1",0.755130988905915,1,0.778014242649078,0.86
"2159","POR","MIN",2014-02-23,1,-3.5,1,0.596209328205985,1,0.596209328205985,1,0.589274440443781,1,"1","1",0.576780021568726,1,0.598596334457397,0.7
"2168","BKN","BOS",2014-03-21,1,-8.5,1,0.779192741652245,1,0.779192741652245,1,0.751794282653257,1,"1","1",0.740870542066772,1,0.762237250804901,0.94
"2172","MIL","CLE",2014-04-11,1,4.5,0,0.40519885230871,0,0.40519885230871,0,0.468559333680957,0,"0","0",0.435008369708785,0,0.449168980121613,0.35
"2174","MEM","PHI",2014-04-11,1,-14.5,1,0.894912395282013,1,0.894912395282013,1,0.879269502752271,1,"1","1",0.838266356503962,1,0.890060782432556,0.93
"2176","ATL","TOR",2014-11-26,0,3.5,0,0.323248283235411,0,0.323248283235411,0,0.343083832964583,0,"0","0",0.359751583110928,0,0.355549514293671,0.27
"2177","TOR","DAL",2014-11-28,0,-3.5,1,0.611008371347823,1,0.611008371347823,1,0.584904581937676,1,"1","1",0.594501311419175,1,0.572673678398132,0.67
"2188","PHI","ATL",2015-01-13,0,10.5,0,0.0924727099947636,0,0.0924727099947636,0,0.119657581288842,0,"0","0",0.146934557899231,0,0.107557013630867,0.05
"2190","POR","UTA",2015-02-03,1,-8.5,1,0.697275225831037,1,0.697275225831037,1,0.731694652716266,1,"1","1",0.694796853212753,1,0.725105285644531,0.82
"2192","BOS","ATL",2015-02-11,1,6.5,0,0.469196706967228,0,0.469196706967228,0,0.399499228626892,0,"0","0",0.417331567599158,0,0.422042816877365,0.27
"2196","ORL","BOS",2015-03-08,1,2.5,0,0.538585905264077,1,0.538585905264077,1,0.51341532717933,1,"0","1",0.53320919646301,1,0.523502588272095,0.39
"2199","CLE","IND",2015-03-20,1,-10.5,1,0.773257632179843,1,0.773257632179843,1,0.771270793507711,1,"1","1",0.745928458216146,1,0.779536485671997,0.76
"2205","BKN","ATL",2015-04-08,0,-4.5,1,0.36261311723629,0,0.36261311723629,0,0.34279041311799,0,"0","0",0.380991823369018,0,0.355313956737518,0.24
"2207","PHX","LAL",2015-11-16,1,-11.5,1,0.811634524698805,1,0.811634524698805,1,0.824695596801103,1,"1","1",0.788882264367983,1,0.809276223182678,0.87
"2208","MIN","DET",2015-11-20,0,2.5,0,0.624768429498366,1,0.624768429498366,1,0.666355907532316,1,"1","1",0.654346848747868,1,0.66007673740387,0.78
"2214","SAC","HOU",2015-12-15,1,-2.5,1,0.526654336860241,1,0.526654336860241,1,0.545314724922081,1,"1","1",0.5288539464777,1,0.537803947925568,0.69
"2215","ATL","PHI",2015-12-16,1,-13.5,1,0.865998919678127,1,0.865998919678127,1,0.868207470456537,1,"1","1",0.854967418579217,1,0.874760508537292,0.96
"2225","BKN","IND",2016-02-03,0,6.5,0,0.319269487060362,0,0.319269487060362,0,0.334368778775108,0,"0","0",0.376784278054743,0,0.322765529155731,0.27
"2230","DAL","DET",2016-03-09,0,-1.5,1,0.488755365408185,0,0.488755365408185,0,0.549438832522781,1,"1","1",0.577888456810467,1,0.542268216609955,0.74
"2231","BKN","MIL",2016-03-13,0,1.5,0,0.534659657469774,1,0.534659657469774,1,0.504565908190767,1,"0","0",0.498187369424638,0,0.490705102682114,0.49
"2233","MIL","UTA",2016-03-20,0,1.5,0,0.482694123110529,0,0.482694123110529,0,0.476511166108124,0,"1","0",0.482611628370014,0,0.488109558820724,0.48
"2235","DEN","PHI",2016-03-23,1,-8.5,1,0.825067781596295,1,0.825067781596295,1,0.82240393916655,1,"1","1",0.769471434711404,1,0.819652795791626,0.93
"2244","CHI","SAS",2016-12-08,1,3.5,0,0.366289104275933,0,0.366289104275933,0,0.434880671263455,0,"0","0",0.457558352641599,0,0.42979034781456,0.26
"2245","MIA","IND",2016-12-14,1,1.5,0,0.495694967693038,0,0.495694967693038,0,0.50248283198309,1,"0","1",0.506674285832118,1,0.522997200489044,0.54
"2246","MEM","UTA",2016-12-18,0,1.5,0,0.293317442197792,0,0.293317442197792,0,0.338987823715714,0,"0","0",0.362914936201507,0,0.31809189915657,0.35
"2247","CHA","CHI",2016-12-23,1,-4.5,1,0.64100352511193,1,0.64100352511193,1,0.64816095452775,1,"1","1",0.643316609695231,1,0.660533666610718,0.83
"2248","CHI","BKN",2016-12-28,1,-9.5,1,0.823077104026381,1,0.823077104026381,1,0.82332586678508,1,"1","1",0.773433332771242,1,0.825316607952118,0.82
"2249","IND","ORL",2017-01-01,1,-5.5,1,0.666322113324573,1,0.666322113324573,1,0.653207733760392,1,"1","1",0.612835589960025,1,0.633095622062683,0.82
"2250","GSW","DEN",2017-01-02,1,-15.5,1,0.908568231078669,1,0.908568231078669,1,0.886857035007197,1,"1","1",0.857295123046238,1,0.885779321193695,0.99
"2256","WAS","NOP",2017-02-04,1,-6.5,1,0.722089916936001,1,0.722089916936001,1,0.741941975800306,1,"1","1",0.732103384477986,1,0.734157860279083,0.92
"2268","CHA","BKN",2013-11-20,1,3,0,0.62563319464785,1,0.62563319464785,1,0.594310777021859,1,"1","1",0.609905556481511,1,0.615167438983917,0.76
"2272","ORL","PHI",2013-11-27,1,-4,1,0.74711680311119,1,0.74711680311119,1,0.744841085759326,1,"1","1",0.71917491186772,1,0.744023263454437,0.9
"2284","DET","PHI",2014-02-01,1,-10,1,0.802564720028827,1,0.802564720028827,1,0.770973345726649,1,"1","1",0.744314304983062,1,0.783157467842102,0.93
"2298","PHX","LAC",2014-04-02,0,-3,1,0.508584457284911,1,0.508584457284911,1,0.495013862721291,0,"0","0",0.499072981187813,0,0.489527225494385,0.29
"2314","CLE","LAC",2015-02-05,1,-4,1,0.482158624214412,0,0.482158624214412,0,0.437054342992757,0,"0","0",0.486395744534968,0,0.451889008283615,0.42
"2315","CHI","SAC",2015-02-10,1,-11,1,0.772078377677112,1,0.772078377677112,1,0.780409871028875,1,"1","1",0.762921362223561,1,0.787441968917847,0.95
"2316","LAC","HOU",2015-03-15,0,-5,1,0.717019151679348,1,0.717019151679348,1,0.711757894051612,1,"1","1",0.683085684910595,1,0.735387086868286,0.8
"2317","WAS","POR",2015-03-16,1,-1,1,0.579913986902088,1,0.579913986902088,1,0.547231030398182,1,"1","1",0.553479722004872,1,0.565864562988281,0.62
"2325","PHI","LAL",2015-03-30,0,-5,1,0.513813565668359,1,0.513813565668359,1,0.46381138345206,0,"0","0",0.48895163634512,0,0.444886893033981,0.54
"2331","NYK","CHA",2015-11-17,1,-1,1,0.439478825025711,0,0.439478825025711,0,0.529528774012424,1,"1","1",0.519452819496443,1,0.513321816921234,0.53
"2332","MIN","ATL",2015-11-25,1,3,0,0.438847852465581,0,0.438847852465581,0,0.449509164834229,0,"0","0",0.484105066424807,0,0.450286477804184,0.42
"2337","DEN","ORL",2015-12-08,0,4,0,0.289038315471711,0,0.289038315471711,0,0.341315452208542,0,"0","0",0.357113780551924,0,0.324194312095642,0.2
"2339","DAL","MEM",2015-12-18,1,-2,1,0.726178094898386,1,0.726178094898386,1,0.754736485407872,1,"1","1",0.722389966519359,1,0.756039261817932,0.97
"2341","UTA","MEM",2016-01-02,1,2,0,0.53234644373632,1,0.53234644373632,1,0.616793032946774,1,"1","1",0.586579896360769,1,0.605064213275909,0.73
"2342","WAS","TOR",2016-01-08,0,2,0,0.415532606118486,0,0.415532606118486,0,0.413913721616072,0,"0","0",0.44518222800097,0,0.413635909557343,0.39
"2347","OKC","MIN",2016-01-15,1,-13,1,0.887896747115376,1,0.887896747115376,1,0.839988065780178,1,"1","1",0.831035991785927,1,0.850403547286987,0.98
"2348","DAL","BOS",2016-01-18,1,2,0,0.471303844191325,0,0.471303844191325,0,0.50176204086812,1,"1","0",0.498781918137761,0,0.4904645383358,0.56
"2350","CHA","MIA",2016-02-05,0,-4,1,0.487818951227122,0,0.487818951227122,0,0.51796809169809,1,"0","1",0.524340253302015,1,0.503174304962158,0.35
"2356","SAS","MEM",2016-03-25,1,-13,1,0.910272914598746,1,0.910272914598746,1,0.873621819782991,1,"1","1",0.858414737145674,1,0.870305836200714,0.93
"2358","CHI","DET",2016-04-02,0,-3,1,0.604694864518926,1,0.604694864518926,1,0.559753118474339,1,"1","1",0.547288290618842,1,0.579789459705353,0.63
"2359","MIN","DAL",2016-04-03,0,3,0,0.424447369997426,0,0.424447369997426,0,0.465861089500125,0,"0","0",0.487302396986673,0,0.460258185863495,0.34
"2369","PHI","CLE",2016-11-27,0,11,0,0.143083334001592,0,0.143083334001592,0,0.131691983683821,0,"0","0",0.176703188636632,0,0.130157560110092,0.09
"2371","NOP","MEM",2016-12-05,0,-5,1,0.501249449389069,1,0.501249449389069,1,0.511880665825218,1,"1","1",0.535276919354603,1,0.514719903469086,0.59
"2372","ATL","OKC",2016-12-05,0,-4,1,0.473541168184529,0,0.473541168184529,0,0.490358205922975,0,"0","0",0.450409356758475,0,0.493234187364578,0.36
"2373","MIL","ATL",2016-12-09,0,-3,1,0.758079828201597,1,0.758079828201597,1,0.704795508852395,1,"1","1",0.728419578330385,1,0.718754768371582,0.81
"2374","NOP","GSW",2016-12-13,0,11,0,0.142826702147942,0,0.142826702147942,0,0.169824991308455,0,"0","0",0.222251507190233,0,0.170113414525986,0.17
"2377","POR","DAL",2016-12-21,0,-6,1,0.65913697730413,1,0.65913697730413,1,0.615743377173433,1,"1","1",0.611662480564505,1,0.639083504676819,0.68
"2380","ATL","SAS",2017-01-01,1,5,0,0.281220980768496,0,0.281220980768496,0,0.235813196759328,0,"0","0",0.289040284478901,0,0.237176224589348,0.06
"2382","NOP","ATL",2017-01-05,0,-2,1,0.497227425319231,0,0.497227425319231,0,0.521697229598715,1,"0","1",0.547402112585414,1,0.519887685775757,0.5
"2384","IND","NYK",2017-01-07,1,-7,1,0.655146436692743,1,0.655146436692743,1,0.66813011854561,1,"1","1",0.675371665450503,1,0.647957742214203,0.8
"2389","POR","ATL",2017-02-13,0,-2,1,0.557940022757056,1,0.557940022757056,1,0.552361103174057,1,"1","1",0.536273628169356,1,0.546160757541656,0.53
"2401","ORL","BKN",2017-04-06,1,-1,1,0.514386397124978,1,0.514386397124978,1,0.569766171528147,1,"1","1",0.545724756623496,1,0.569100677967072,0.6
"2402","LAL","MIN",2017-04-09,1,6,0,0.499597881902443,0,0.499597881902443,0,0.428950644951823,0,"0","0",0.47052785364327,0,0.445611923933029,0.3
"2422","MIA","CHI",2014-02-23,1,-7.5,1,0.749388147073726,1,0.749388147073726,1,0.740119241957111,1,"1","1",0.701167542545311,1,0.740318953990936,0.56
"2427","DAL","BOS",2014-03-17,1,-11.5,1,0.794444786583118,1,0.794444786583118,1,0.80855025583791,1,"1","1",0.788215264295021,1,0.817387819290161,0.86
"2430","PHI","BKN",2014-04-05,0,10.5,0,0.245542003734584,0,0.245542003734584,0,0.224594521744756,0,"0","0",0.281626620290232,0,0.227241635322571,0.08
"2434","LAL","MIN",2014-11-28,0,-5.5,1,0.637617219282274,1,0.637617219282274,1,0.610193413276319,1,"1","1",0.608056181404613,1,0.613133788108826,0.78
"2438","UTA","MIA",2014-12-12,0,-1.5,1,0.554757312724131,1,0.554757312724131,1,0.502405098686984,1,"1","1",0.534513398671772,1,0.503720343112946,0.55
"2440","TOR","ORL",2014-12-15,1,-6.5,1,0.834510364441619,1,0.834510364441619,1,0.817193642798814,1,"1","1",0.783234419969082,1,0.82765531539917,0.85
"2441","CHI","NYK",2014-12-18,1,-12.5,1,0.818013254150029,1,0.818013254150029,1,0.810651282517592,1,"1","1",0.792948797916694,1,0.808966755867004,0.92
"2449","CLE","OKC",2015-01-25,1,-3.5,1,0.585004430485902,1,0.585004430485902,1,0.628250743131213,1,"1","1",0.618307103909463,1,0.615933179855347,0.7
"2455","LAC","MEM",2015-02-23,0,-3.5,1,0.742093323614203,1,0.742093323614203,1,0.628545653841951,1,"1","1",0.65096684997235,1,0.646010041236877,0.65
"2457","CHI","WAS",2015-03-03,1,1.5,0,0.614808299156169,1,0.614808299156169,1,0.637967570736347,1,"1","1",0.629243361585158,1,0.627308249473572,0.73
"2459","MIA","POR",2015-03-18,1,2.5,0,0.528936173948632,1,0.528936173948632,1,0.368806169621974,0,"0","0",0.4270285058603,0,0.399697959423065,0.42
"2467","NYK","NOP",2015-11-15,1,-1.5,1,0.691382966740897,1,0.691382966740897,1,0.757029218240309,1,"1","1",0.7286024640371,1,0.750784814357758,0.72
"2470","DET","HOU",2015-11-30,1,-4.5,1,0.641705586966597,1,0.641705586966597,1,0.667374131547945,1,"1","1",0.650168719240084,1,0.659904479980469,0.72
"2473","BOS","MIN",2015-12-21,1,-7.5,1,0.599301506007365,1,0.599301506007365,1,0.6052303142131,1,"1","1",0.607998826978271,1,0.591261923313141,0.76
"2475","MEM","LAL",2015-12-27,1,-9.5,1,0.84053143247355,1,0.84053143247355,1,0.842251503013684,1,"1","1",0.810491190208028,1,0.841298282146454,0.94
"2478","LAC","NOP",2016-01-10,1,-9.5,1,0.795498319622064,1,0.795498319622064,1,0.842608028768875,1,"1","1",0.822481828561597,1,0.839018762111664,0.96
"2488","DEN","SAC",2016-02-23,0,-2.5,1,0.54156507335144,1,0.54156507335144,1,0.555804854676522,1,"1","1",0.554182990282429,1,0.549004197120667,0.52
"2493","DEN","BKN",2016-03-04,0,-5.5,1,0.705454017264984,1,0.705454017264984,1,0.694778146629972,1,"1","1",0.661944869026385,1,0.688063025474548,0.97
"2494","CHI","HOU",2016-03-05,1,-1.5,1,0.602494646110648,1,0.602494646110648,1,0.525624163887555,1,"1","1",0.53715242421704,1,0.518762469291687,0.63
"2502","WAS","BKN",2016-04-06,1,-11.5,1,0.687517918941137,1,0.687517918941137,1,0.700045082999355,1,"1","1",0.721270101652292,1,0.691679358482361,0.9
"2503","ORL","MIL",2016-04-11,1,-2.5,1,0.5368517932541,1,0.5368517932541,1,0.57756548678379,1,"1","1",0.596563936821009,1,0.550080060958862,0.78
"2511","NYK","ORL",2016-12-22,1,-4.5,1,0.559243672220839,1,0.559243672220839,1,0.58535461501628,1,"1","1",0.578009160820189,1,0.576260030269623,0.64
"2513","BOS","MIA",2016-12-30,1,-9.5,1,0.764220502616329,1,0.764220502616329,1,0.768675298074503,1,"1","1",0.725154125113782,1,0.763701140880585,0.88
"2515","LAC","PHX",2017-01-02,1,-4.5,1,0.868298025144778,1,0.868298025144778,1,0.833022164076601,1,"1","1",0.78340888113736,1,0.828041136264801,0.92
"2518","MEM","UTA",2017-01-08,1,-2.5,1,0.449451275215968,0,0.449451275215968,0,0.499123563769411,0,"1","0",0.523365583170795,1,0.485540688037872,0.46
"2531","SAC","ORL",2017-03-13,1,1.5,0,0.594137399858975,1,0.594137399858975,1,0.648144782530994,1,"1","1",0.646717202507667,1,0.631292641162872,0.9
"2533","SAS","NYK",2017-03-25,1,-14.5,1,0.924115175785826,1,0.924115175785826,1,0.892304859172285,1,"1","1",0.854184771835927,1,0.894094824790955,0.99
"2536","PHI","CHI",2017-04-06,0,5.5,0,0.463298182450346,0,0.463298182450346,0,0.492931334052664,0,"0","0",0.468493205118033,0,0.478899419307709,0.27
"2538","CLE","PHI",2013-11-09,0,-8,1,0.353081341896062,0,0.353081341896062,0,0.438092840259228,0,"0","0",0.448072021052389,0,0.442929416894913,0.34
"2539","POR","PHX",2013-11-13,1,-7,1,0.618873199607514,1,0.618873199607514,1,0.586996073471732,1,"1","1",0.581148711480023,1,0.600167810916901,0.6
"2551","PHI","PHX",2014-01-27,0,5,0,0.263174738237417,0,0.263174738237417,0,0.249636471435712,0,"0","0",0.278481697493258,0,0.246196493506432,0.01
"2561","CHI","PHI",2014-03-22,1,-16,1,0.801836941425341,1,0.801836941425341,1,0.84938062354832,1,"1","1",0.834724659241572,1,0.84848564863205,0.87
"2563","BKN","HOU",2014-04-01,1,-3,1,0.347419813995195,0,0.347419813995195,0,0.435088585570774,0,"0","0",0.434271315034333,0,0.408855736255646,0.21
"2564","MIA","MIL",2014-04-02,1,-13,1,0.929918472279262,1,0.929918472279262,1,0.916524703218237,1,"1","1",0.885368496647387,1,0.911480605602264,0.93
"2568","CHA","PHI",2014-04-12,1,-12,1,0.865601328990462,1,0.865601328990462,1,0.849486304811866,1,"1","1",0.842102569369825,1,0.862312734127045,0.87
"2572","ATL","DEN",2014-12-07,1,-6,1,0.775840443284909,1,0.775840443284909,1,0.792947527105886,1,"1","1",0.770672818164068,1,0.782757580280304,0.92
"2574","DEN","LAC",2014-12-19,1,3,0,0.233428852051128,0,0.233428852051128,0,0.275772464566498,0,"0","0",0.321393533662241,0,0.275518029928207,0.1
